ID,TITLE,RELEASE_DATE,IMAGE_URL
14126,Wolverine (1988) #180,2002-10-01,/i/mg/b/40/image_not_available
17542,Avengers (1998) #57,2002-10-01,/i/mg/6/b0/5863dd6a70a67
19933,Iron Man (1998) #58,2002-10-01,/i/mg/e/70/597114876d459
15302,Ultimates (2002) #7,2002-09-04,/i/mg/9/f0/5a9d66bfb9183
10499,Paradise X (2002) #4,2002-09-01,/i/mg/8/90/5c9d15a1cc122
14124,Wolverine (1988) #179,2002-09-01,/i/mg/b/40/image_not_available
17541,Avengers (1998) #56,2002-09-01,/i/mg/6/f0/5863dbd42c777
19932,Iron Man (1998) #57,2002-09-01,/i/mg/3/00/597114b20e6a4
1023,WOLVERINE/DEADPOOL: WEAPON X TPB (Trade Paperback),2002-08-01,/i/mg/7/00/58498be4f24a5
10498,Paradise X (2002) #3,2002-08-01,/i/mg/3/40/5c9d15574c500
12614,Black Panther (1998) #45,2002-08-01,/i/mg/7/a0/5979f1e84cf19
14122,Wolverine (1988) #177,2002-08-01,/i/mg/b/40/image_not_available
14123,Wolverine (1988) #178,2002-08-01,/i/mg/b/40/image_not_available
19931,Iron Man (1998) #56,2002-08-01,/i/mg/7/03/5971144d4308d
15300,Ultimates (2002) #5,2002-07-03,/i/mg/f/e0/5a9d5b69acdc9
17540,Avengers (1998) #55,2002-07-03,/i/mg/9/90/5863dac41ca89
12613,Black Panther (1998) #44,2002-07-01,/i/mg/a/c0/5979e8afa7f29
14121,Wolverine (1988) #176,2002-07-01,/i/mg/c/e0/5ced49d8da743
15015,X-Treme X-Men (2001) #13,2002-07-01,/i/mg/c/a0/5c4f246db88ad
19930,Iron Man (1998) #55,2002-07-01,/i/mg/7/60/5967f38e54b6c
19929,Iron Man (1998) #54,2002-06-15,/i/mg/7/60/5967f2c629d7c
17539,Avengers (1998) #54,2002-06-05,/i/mg/d/20/5863d9bc9dba9
10497,Paradise X (2002) #2,2002-06-01,/i/mg/4/20/5c9d14f841677
12612,Black Panther (1998) #43,2002-06-01,/i/mg/a/00/5978f4f5aa62c
14120,Wolverine (1988) #175,2002-06-01,/i/mg/6/00/5453d513d2ad6
19928,Iron Man (1998) #53,2002-06-01,/i/mg/4/c0/5967f377937bd
10493,Paradise X (2002) #1,2002-05-01,/i/mg/c/40/5c9d1482a2eaf
12611,Black Panther (1998) #42,2002-05-01,/i/mg/c/03/5978e905324b0
14119,Wolverine (1988) #174,2002-05-01,/i/mg/c/f0/5ced48ed4e609
15013,X-Treme X-Men (2001) #11,2002-05-01,/i/mg/5/a0/5c4b831a27b30
19927,Iron Man (1998) #52,2002-05-01,/i/mg/4/50/5967f26b906f4
17538,Avengers (1998) #53,2002-04-24,/i/mg/9/20/5863d8a11fea0
17537,Avengers (1998) #52,2002-04-10,/i/mg/4/20/5863d74a354f9
15297,Ultimates (2002) #2,2002-04-03,/i/mg/8/e0/5a99c30ca12d4
10492,Paradise X (2002),2002-04-01,/i/mg/a/30/5c9cf9f5218e4
12610,Black Panther (1998) #41,2002-04-01,/i/mg/9/60/4bc34a8938ac4
14118,Wolverine (1988) #173,2002-04-01,/i/mg/c/a0/5ced49b3f3e62
19926,Iron Man (1998) #51,2002-04-01,/i/mg/8/b0/5a6a1c1ec2338
73297,Taskmaster (2002) #1,2002-04-01,/i/mg/c/a0/5bf58f6b12a8e
14117,Wolverine (1988) #172,2002-03-01,/i/mg/f/40/5ced4ab29f53b
19925,Iron Man (1998) #50,2002-03-01,/i/mg/8/f0/5a6a1c0c895c1
14116,Wolverine (1988) #171,2002-02-01,/i/mg/f/10/5ced4b5e6d1b2
19923,Iron Man (1998) #49,2002-02-01,/i/mg/b/70/5a6a1b402afa8
14115,Wolverine (1988) #170,2002-01-01,/i/mg/c/20/5ced4a104ce59
19922,Iron Man (1998) #48,2002-01-01,/i/mg/4/30/5967f28259dc0
14113,Wolverine (1988) #169,2001-12-01,/i/mg/9/f0/584ec8b6c8c70
19921,Iron Man (1998) #47,2001-12-01,/i/mg/6/80/5967f3aec1045
17532,Avengers (1998) #48,2001-11-30,/i/mg/6/60/586281e4db05c
7354,Avengers: The Ultron Imperative (2001) #1,2001-11-01,/i/mg/5/50/5c1405ec710b0
14112,Wolverine (1988) #168,2001-11-01,/i/mg/c/40/584ebd8c073aa
19920,Iron Man (1998) #46,2001-11-01,/i/mg/8/f0/5967f2a0cc2b0
14111,Wolverine (1988) #167,2001-10-01,/i/mg/c/40/4bb78fa29c1a5
19919,Iron Man (1998) #45,2001-10-01,/i/mg/3/50/5967f21b039b0
17530,Avengers (1998) #46,2001-09-28,/i/mg/6/a0/5862801baf95d
14110,Wolverine (1988) #166,2001-09-01,/i/mg/4/a0/5849c88f6f550
19918,Iron Man (1998) #44,2001-09-01,/i/mg/1/00/5967f23579a30
20628,Avengers Annual (2001) #1,2001-09-01,/i/mg/2/03/5a281245c2907
17529,Avengers (1998) #45,2001-08-31,/i/mg/6/80/58627f58a5aa0
14109,Wolverine (1988) #165,2001-08-01,/i/mg/4/a0/5849b7fb95592
19917,Iron Man (1998) #43,2001-08-01,/i/mg/3/00/5a6a1c1928442
17526,Avengers (1998) #42,2001-07-10,/i/mg/a/03/646793107e6a2
14108,Wolverine (1988) #164,2001-07-01,/i/mg/3/d0/4bb68a9922177
19916,Iron Man (1998) #42,2001-07-01,/i/mg/b/03/5967f24b45062
17525,Avengers (1998) #41,2001-06-10,/i/mg/7/30/58627bf9295ad
14107,Wolverine (1988) #163,2001-06-01,/i/mg/1/c0/584997d126d79
19915,Iron Man (1998) #41,2001-06-01,/i/mg/6/c0/5967f2b440cb9
17524,Avengers (1998) #40,2001-05-10,/i/mg/6/40/585c31d3660eb
12598,Black Panther (1998) #30,2001-05-01,/i/mg/1/f0/56dedcb8bb01d
14106,Wolverine (1988) #162,2001-05-01,/i/mg/7/00/58498be4f24a5
19914,Iron Man (1998) #40,2001-05-01,/i/mg/1/c0/5967f159457f5
11911,Universe X (2000) #7,2001-04-10,/i/mg/5/90/5bd1d560c2251
17522,Avengers (1998) #39,2001-04-10,/i/mg/2/e0/585c312c2c343
14105,Wolverine (1988) #161,2001-04-01,/i/mg/6/f0/4bb79a540877f
19912,Iron Man (1998) #39,2001-04-01,/i/mg/1/50/5967f1856c057
11910,Universe X (2000) #6,2001-03-10,/i/mg/5/00/5bd1cac8eea3f
17521,Avengers (1998) #38,2001-03-10,/i/mg/3/70/585c3030c3f96
14104,Wolverine (1988) #160,2001-03-01,/i/mg/2/04/58486cbfc8afe
19911,Iron Man (1998) #38,2001-03-01,/i/mg/5/e0/5a6a1b26b1189
17520,Avengers (1998) #37,2001-02-10,/i/mg/6/10/585c2f83a501a
14102,Wolverine (1988) #159,2001-02-01,/i/mg/9/a0/4bb79daa75186
19910,Iron Man (1998) #37,2001-02-01,/i/mg/4/40/5967f14d787b1
17519,Avengers (1998) #36,2001-01-10,/i/mg/9/70/585c2eb0b4e49
10286,Maximum Security (2000) #3,2001-01-01,/i/mg/9/03/539863d922d01
14101,Wolverine (1988) #158,2001-01-01,/i/mg/8/a0/5ac66543a3a0c
19909,Iron Man (1998) #36,2001-01-01,/i/mg/2/f0/50b3a677141b7
54904,Iron Fist/Wolverine (2000) #3,2001-01-01,/i/mg/6/80/57b4de144d843
10285,Maximum Security (2000) #2,2000-12-10,/i/mg/7/80/5398638f5c6fc
10284,Maximum Security (2000) #1,2000-12-01,/i/mg/e/00/539863578d212
14100,Wolverine (1988) #157,2000-12-01,/i/mg/9/80/5ac65f2d82b83
19908,Iron Man (1998) #35,2000-12-01,/i/mg/9/00/50b3a7b66f2c4
54903,Iron Fist/Wolverine (2000) #2,2000-12-01,/i/mg/f/d0/57b4ddff52ef4
11906,Universe X (2000) #2,2000-11-10,/i/mg/9/20/5bc8d5054c25c
17517,Avengers (1998) #34,2000-11-10,/i/mg/2/e0/585c2b3033d16
14099,Wolverine (1988) #156,2000-11-01,/i/mg/c/d0/5ac65ce62e9f4
15555,Fantastic Four (1998) #35,2000-11-01,/i/mg/e/c0/5acfa86cae121
19907,Iron Man (1998) #34,2000-11-01,/i/mg/6/70/52ab955854c2c
14098,Wolverine (1988) #155,2000-10-10,/i/mg/9/f0/585aa55c8f86a
17516,Avengers (1998) #33,2000-10-10,/i/mg/6/e0/585c2a95728bd
12590,Black Panther (1998) #23,2000-10-01,/i/mg/9/40/56ddeb1302f58
19906,Iron Man (1998) #33,2000-10-01,/i/mg/2/f0/50b528d3a8242
65149,Iron Man Annual (2000) #1,2000-10-01,/i/mg/3/80/5c93b8091740d
14097,Wolverine (1988) #154,2000-09-10,/i/mg/8/e0/585aa47ddd200
17515,Avengers (1998) #32,2000-09-10,/i/mg/6/10/585c2a013eb58
8500,Deadpool (1997) #44,2000-09-01,/i/mg/b/80/4f206cc0ac28a
18650,Thor (1998) #27,2000-09-01,/i/mg/9/70/59cab087d1d55
19905,Iron Man (1998) #32,2000-09-01,/i/mg/f/b0/5a6602515a073
14096,Wolverine (1988) #153,2000-08-01,/i/mg/f/a0/5ac65fcbe7c29
17514,Avengers (1998) #31,2000-08-01,/i/mg/3/d0/585c2953b6a65
19904,Iron Man (1998) #31,2000-08-01,/i/mg/5/20/50b3aa644023b
17513,Avengers (1998) #30,2000-07-10,/i/mg/4/10/5859605be2d76
14095,Wolverine (1988) #152,2000-07-01,/i/mg/9/60/5ac65fa098b61
19903,Iron Man (1998) #30,2000-07-01,/i/mg/1/90/50b3ab4edbfb4
17511,Avengers (1998) #29,2000-06-10,/i/mg/7/50/58595fae6f147
14094,Wolverine (1988) #151,2000-06-01,/i/mg/6/50/5ac662e7280a6
15343,Thunderbolts (1997) #39,2000-06-01,/i/mg/4/10/5c2537a89657c
19901,Iron Man (1998) #29,2000-06-01,/i/mg/b/a0/50b3abc09e2f3
17510,Avengers (1998) #28,2000-05-10,/i/mg/4/10/58595f13059bf
14093,Wolverine (1988) #150,2000-05-01,/i/mg/f/a0/5ac65efbd392f
19900,Iron Man (1998) #28,2000-05-01,/i/mg/9/10/5a5fa91e431f1
17509,Avengers (1998) #27,2000-04-10,/i/mg/f/60/58595e8265999
8551,Earth X (1999) #12,2000-04-01,/i/mg/f/f0/5a95b25314090
14091,Wolverine (1988) #149,2000-04-01,/i/mg/b/90/50b3ad1de1f26
19899,Iron Man (1998) #27,2000-04-01,/i/mg/c/90/5a5fa0fa769a8
8550,Earth X (1999) #11,2000-03-01,/i/mg/6/c0/5a96f5970a44b
14090,Wolverine (1988) #148,2000-03-01,/i/mg/c/30/4bb583bfd3a55
15546,Fantastic Four (1998) #27,2000-03-01,/i/mg/9/90/5ace5b77316b9
19898,Iron Man (1998) #26,2000-03-01,/i/mg/c/60/5a5f84ea13ee4
17507,Avengers (1998) #25,2000-02-10,/i/mg/c/e0/58595d3b3ddfc
14089,Wolverine (1988) #147,2000-02-01,/i/mg/4/20/5846d86fa3815
19897,Iron Man (1998) #25,2000-02-01,/i/mg/6/e0/594ad85e18d16
17506,Avengers (1998) #24,2000-01-10,/i/mg/9/f0/58595c8c2dec2
8549,Earth X (1999) #10,2000-01-01,/i/mg/7/80/5a96f56ce5578
14088,Wolverine (1988) #146,2000-01-01,/i/mg/6/e0/5846ced976a30
19896,Iron Man (1998) #24,2000-01-01,/i/mg/f/20/50b3af37f3ffa
20627,Avengers Annual (2000) #1,2000-01-01,/i/mg/8/a0/5a2700df315fa
17505,Avengers (1998) #23,1999-12-10,/i/mg/1/f0/58595a969a983
